nome_escola_siope,municipio,nome_dependencia_administrativa,codigo_escola,codigo_mec,bairro,distrito,cep,complemento,endereco,numero,end2,lon,lat
HERMES BOVAROTI JUNIOR CENTRO MUN DE COMPL EDUCACIONAL,Itajobi,MUNICIPAL,387800,35387800,CENTRO,ITAJOBI,15840000,RUA,RUA CINCINATO BRAGA,1171,"rua cincinato braga 1171 centro , SP, Brasil",-46.6482946,-23.5664766
ESCOLA MUNICIPAL JOSE PADIN MOUTA,Praia Grande,MUNICIPAL,212763,35212763,TUPI,PRAIA GRANDE,11703390,RUA,RUA BOROROS,150,"rua bororos 150 tupi , SP, Brasil",-46.4614176,-24.0205745
PAULO DE SOUZA SANDOVAL ESCOLA MUNICIPAL,Praia Grande,MUNICIPAL,197063,35197063,ESMERALDA,PRAIA GRANDE,11713420,RUA,RUA 10,91,"rua 10 91 esmeralda , SP, Brasil",-46.6328648,-23.5714162
ARY CABRAL ESCOLA MUNICIPAL,Praia Grande,MUNICIPAL,280604,35280604,QUIETUDE,PRAIA GRANDE,11718330,RUA,RUA RUI MANOEL SAMPAIO SEABRA PEREIRA,SN,"rua rui manoel sampaio seabra pereira sn quietude , SP, Brasil",-46.4830265,-24.0157761
SAO FRANCISCO DE ASSIS ESCOLA MUNICIPAL,Praia Grande,MUNICIPAL,250958,35250958,BOQUEIRAO,PRAIA GRANDE,11700120,RUA,CORNELIO PROCOPIO,300,"cornelio procopio 300 boqueirao , SP, Brasil",-46.4121662,-24.0042632
MARIA NILZA SILVA ROMAO PROFA ESCOLA MUNICIPAL,Praia Grande,MUNICIPAL,89448,35089448,VILA SONIA,PRAIA GRANDE,11722000,RUA,RUA DO MACON,1000,"rua do macon 1000 vila sonia , SP, Brasil",-46.4446273,-24.0025815
NELSINA AYRES BUENO ABREU PROFESSORA EMEF,Piedade,MUNICIPAL,274641,35274641,BAIRRO DOS PAULAS E MENDES,PIEDADE,18170000,"",RUA LOUIS FRANCESCON,360,"rua louis francescon 360 bairro dos paulas e mendes , SP, Brasil",-47.4355506,-23.7081816
GREGORIO RODRIGUES MACHADO EMEIEF,Piedade,MUNICIPAL,663852,35663852,BAIRRO PIRAPORINHA,PIEDADE,18170000,KM 7,ESTRADA DOS LAVRADORES,SN,"estrada dos lavradores sn bairro piraporinha , SP, Brasil",-46.5861072,-23.6814823
MARIA OLIMPIA VIEIRA PROFA EMEF,Jambeiro,MUNICIPAL,216793,35216793,CENTRO,JAMBEIRO,12270000,RUA,RUA CORONEL BATISTA,267,"rua coronel batista 267 centro , SP, Brasil",-46.6362153,-23.5409606
ANTONIO ROLIM DA SILVA CEMEI,Piedade,MUNICIPAL,58506,35058506,PARQUE DA TORRE,PIEDADE,18170000,AVENIDA,RUA PETROLANDIA,50,"rua petrolandia 50 parque da torre , SP, Brasil",-47.4112362,-23.7175239
SONIA MARIA ALENCAR PROFESSORA UNID PRE ESCOLAR MUNICIPAL,Jambeiro,MUNICIPAL,66400,35066400,CENTRO,JAMBEIRO,12270000,RUA,RUA MAJOR GURGEL,79,"rua major gurgel 79 centro , SP, Brasil",-45.699775,-23.2513806
MIRIAM CORSINI RUZZI EMEIEF,Piedade,MUNICIPAL,274636,35274636,VILA ELVIO,PIEDADE,18170000,"",RUA DO COMERCIO,SN,"rua do comercio sn vila elvio , SP, Brasil",-46.3319595,-23.9324976
ROQUE NEVIO FIORAVANTE PROF CIEMS,Saltinho,MUNICIPAL,246384,35246384,CENTRO,SALTINHO,13440000,RUA,RUA FERMIANO RODRIGUES DA SILVA,151,"rua fermiano rodrigues da silva 151 centro , SP, Brasil",-47.6729063,-22.8476456
GELSOMINA ATANASIO CASSANO EMEI,Saltinho,MUNICIPAL,564084,35564084,CENTRO,SALTINHO,13440000,RUA,RUA PEDRO GUITT,420,"rua pedro guitt 420 centro , SP, Brasil",-47.6787966,-22.8452136
PEDRO SOMMERHAUZER PROF EMEF,Quintana,MUNICIPAL,198821,35198821,CENTRO,QUINTANA,17670000,"",SANTA AMÉLIA,647,"santa amélia 647 centro , SP, Brasil",-46.6476041,-23.7040596
HENEDINA RODRIGUES CORTEZ II DONA EM,Bragança Paulista,MUNICIPAL,204602,35204602,JARDIM DA FRATERNIDADE,BRAGANCA PAULISTA,12926680,RUA,LEOVIGILDO DANTAS DE BRITTO,300,"leovigildo dantas de britto 300 jardim da fraternidade , SP, Brasil",-46.5456219,-22.9189193
HENEDINA RODRIGUES CORTEZ II DONA EM,Bragança Paulista,MUNICIPAL,204602,35204602,JARDIM DA FRATERNIDADE,BRAGANCA PAULISTA,12926680,RUA,LEOVIGILDO DANTAS DE BRITTO,300,"leovigildo dantas de britto 300 jardim da fraternidade , SP, Brasil",-46.5456219,-22.9189193
ADALMIR ELIAS DUAIK PROF EM,Bragança Paulista,MUNICIPAL,204717,35204717,VILA MOTA,BRAGANCA PAULISTA,12903170,RUA,CARVALHO MOTTA,420,"carvalho motta 420 vila mota , SP, Brasil",-46.5500532,-22.948253
JORGE MARI PROF EMEI,Pedreira,MUNICIPAL,83148,35083148,JARDIM ANDRADE,PEDREIRA,13920000,AVENIDA,RUA JOSE SERRA,335,"rua jose serra 335 jardim andrade , SP, Brasil",-46.881454,-22.7372883
BAIRRO DO CAMPO NOVO EM,Bragança Paulista,MUNICIPAL,226646,35226646,CAMPO NOVO,BRAGANCA PAULISTA,12903844,CONDOMINIO RESIDENCIAL,BAIRRO CAMPO NOVO,SN,"bairro campo novo sn campo novo , SP, Brasil",-47.3709601,-22.598302
ZULMAR DEOCLECIA PINTOR BERNARDES PROFA EMEF,Pedreira,MUNICIPAL,441570,35441570,JARDIM MARAJOARA II,PEDREIRA,13920000,AVENIDA,RUA NORMA DESANTI SARAGIOTTO,130,"rua norma desanti saragiotto 130 jardim marajoara ii , SP, Brasil",-46.894802,-22.7109798
JESUS MENINO CIMEI,Pedreira,MUNICIPAL,81673,35081673,PARQUE INDUSTRIAL,PEDREIRA,13920000,AVENIDA,AVENIDA SILVIO DE AGUIAR MAYA,952,"avenida silvio de aguiar maya 952 parque industrial , SP, Brasil",-46.8942959,-22.7391612
MARIA LUCIA CARVALHO DE CAMARGO SERRALVO PROFA EM,Bragança Paulista,MUNICIPAL,204638,35204638,BAIRRO UBERABA,BRAGANCA PAULISTA,12908420,AVENIDA,AVENIDA DJANIRA BRANDI BERTOLOTTI,SN,"avenida djanira brandi bertolotti sn bairro uberaba , SP, Brasil",-46.5876052,-22.9413384
MARIA LUCIA CARVALHO DE CAMARGO SERRALVO PROFA EM,Bragança Paulista,MUNICIPAL,204638,35204638,BAIRRO UBERABA,BRAGANCA PAULISTA,12908420,AVENIDA,AVENIDA DJANIRA BRANDI BERTOLOTTI,SN,"avenida djanira brandi bertolotti sn bairro uberaba , SP, Brasil",-46.5876052,-22.9413384
MARIA ANTONIA BENELI EM,Tarumã,MUNICIPAL,132184,35132184,VILA BRASIL,TARUMA,19820000,AVENIDA,RUA SANTA CATARINA,311,"rua santa catarina 311 vila brasil , SP, Brasil",-47.415271,-22.0106876
DINEI I HAITER ROCHA PROFA EMEB,Leme,MUNICIPAL,89096,35089096,VILA RAUTER,LEME,13610445,RUA,JOSE TONOLLI,15,"jose tonolli 15 vila rauter , SP, Brasil",-47.3939285,-22.1953758
ESCOLA MUNICIPAL DR ADELICIO TEODORO,São José do Rio Preto,MUNICIPAL,577315,35577315,JARDIM NUNES,SAO JOSE DO RIO PRETO,15046829,RUA,EDUARDO MACEDO RIBAS,SN,"eduardo macedo ribas sn jardim nunes , SP, Brasil",-49.382967,-20.751367
CINDERELA EM,São José do Rio Preto,MUNICIPAL,93555,35093555,VILA ESPLANADA,SAO JOSE DO RIO PRETO,15025620,RUA,OSWALDO ARANHA,279,"oswaldo aranha 279 vila esplanada , SP, Brasil",-49.3813481,-20.7928346
IRINEU JULIAO EMEIEF,Vista Alegre do Alto,MUNICIPAL,76036,35076036,CENTRO,VISTA ALEGRE DO ALTO,15920000,PRACA,RUA PROFESSOR  ARISTEU SOARES CAMARGO JUNIOR,130,"rua professor  aristeu soares camargo junior 130 centro , SP, Brasil",-48.6272786,-21.171512
ANA MENDES O C PAES EM,São José do Rio Preto,MUNICIPAL,87804,35087804,GONZAGA DE CAMPOS,SAO JOSE DO RIO PRETO,15035310,RUA,BENTO SAO,529,"bento sao 529 gonzaga de campos , SP, Brasil",-49.4242435,-20.8116809
CENOBELINO DE BARROS SERRA DR EM,São José do Rio Preto,MUNICIPAL,228199,35228199,VILA SANTA CRUZ,SAO JOSE DO RIO PRETO,15014020,AVENIDA,SAUDADE,3719,"saudade 3719 vila santa cruz , SP, Brasil",-49.3742984,-20.8145632
PRACIDIO BARROS DE OLIVEIRA VEREADOR EMEF,Salto de Pirapora,MUNICIPAL,451198,35451198,JARDIM MARIA CLARA,SALTO DE PIRAPORA,18160000,RUA,RUA SALVADOR LEME DOS SANTOS,0,"rua salvador leme dos santos 0 jardim maria clara , SP, Brasil",-47.5672116,-23.6442832
LYDIA SANFELICE PROFA EM,São José do Rio Preto,MUNICIPAL,227365,35227365,JARDIM BELA VISTA,SAO JOSE DO RIO PRETO,15060290,RUA,LUCIANO LISO,370,"luciano liso 370 jardim bela vista , SP, Brasil",-49.3609237,-20.8001796
EZEQUIEL RAMOS PROF EM,São José do Rio Preto,MUNICIPAL,219629,35219629,BOA VISTA,SAO JOSE DO RIO PRETO,15025010,RUA,BOA VISTA,938,"boa vista 938 boa vista , SP, Brasil",-60.6921965,2.8411979
FRANCISCO FELIPE CAPUTO PROF EM,São José do Rio Preto,MUNICIPAL,219678,35219678,PARQUE INDUSTRIAL,SAO JOSE DO RIO PRETO,15030150,RUA,RUA PROFESSORA ZULMIRA DA SILVA SALLES,897,"rua professora zulmira da silva salles 897 parque industrial , SP, Brasil",-49.39732,-20.804505
OSMERIO NOGUEIRA DE CARVALHO PROF ESCOLA MUNICIPAL,Uchoa,MUNICIPAL,463541,35463541,MORUMBI,UCHOA,15890000,AVENIDA,RUA ADEUMIRO AUGUSTO TRIDAPALLI,800,"rua adeumiro augusto tridapalli 800 morumbi , SP, Brasil",-46.7201808,-23.5978856
ELVIRA DE GUZZI RIBEIRO PROFA EM,São José do Rio Preto,MUNICIPAL,200761,35200761,CONJUNTO HABITACIONAL SAO JOSE DO RIO PRETO,SAO JOSE DO RIO PRETO,15052000,AVENIDA,ANTONIO BUZZINI,270,"antonio buzzini 270 conjunto habitacional sao jose do rio preto , SP, Brasil",-49.3638308,-20.7652916
ESCOLA MUN ENS FUNDAMENTAL PROFESSOR ROBERTO MARCELLO,Salto de Pirapora,MUNICIPAL,581288,35581288,CENTRO,SALTO DE PIRAPORA,18160000,RUA,HONORIO ALMEIDA DE BARROS,SN,"honorio almeida de barros sn centro , SP, Brasil",,
ISABEL CRISTINA PENTEADO EMEB,Leme,MUNICIPAL,269086,35269086,JARDIM PALMEIRAS,LEME,13615530,RUA,FLORENCIO VILLA RIOS,SN,"florencio villa rios sn jardim palmeiras , SP, Brasil",-47.3809377,-22.1637007
MARIA GONCALVES MOURAO PROFA EMEB,Leme,MUNICIPAL,201443,35201443,JARDIM PALMEIRAS,LEME,13615510,RUA,RUA VICENTE CROCCI,151,"rua vicente crocci 151 jardim palmeiras , SP, Brasil",-47.379304,-22.16606
RENATA BACCARIN EMEB,Leme,MUNICIPAL,442197,35442197,JARDIM DO SOL,LEME,13610812,RUA,JOSE PARIZOTO,35,"jose parizoto 35 jardim do sol , SP, Brasil",-47.3892329,-22.2061018
ELIZABETE CABALLERO PROFA EM,São José do Rio Preto,MUNICIPAL,64671,35064671,VILA ERCILIA,SAO JOSE DO RIO PRETO,15013120,RUA,JOSE DE ALENCAR,SN,"jose de alencar sn vila ercilia , SP, Brasil",-49.3708969,-20.8161623
HONORIO CARDOSO EMEB CIAF II,Jaboticabal,MUNICIPAL,201200,35201200,SANBRA,JABOTICABAL,14882010,RUA,RUA SAO JOAO,1980,"rua sao joao 1980 sanbra , SP, Brasil",-46.7953572,-21.9707138
EURIDES MAMBREU DRA EM,São José do Rio Preto,MUNICIPAL,461775,35461775,RES PARQUE DAS AMORA II,ENGENHEIRO SCHMIDT,15062588,ESTRADA S JOSE DO RIO PRETO A ENGO SCHMIDT 1225,AVENIDA PROJETADA,1,"avenida projetada 1 res parque das amora ii , SP, Brasil",-49.3188544,-20.8519352
ADHERBAL ABRAO DOS SANTOS PROF EM,São José do Rio Preto,MUNICIPAL,224340,35224340,JARDIM MARACANA,SAO JOSE DO RIO PRETO,15092100,RUA,RUA VITORIO ANTONIO MENEZELLO,710,"rua vitorio antonio menezello 710 jardim maracana , SP, Brasil",-49.4121661,-20.8269271
DEOLINDA CONCEICAO SANTOS MEIRA EMEB,Leme,MUNICIPAL,442203,35442203,JARDIM ANA LUCIA,LEME,13617736,RUA,RUA JOSE CARRARO,SN,"rua jose carraro sn jardim ana lucia , SP, Brasil",-47.3625202,-22.188467
CORONEL VAZ EMEB,Jaboticabal,MUNICIPAL,277204,35277204,CENTRO,JABOTICABAL,14870100,AVENIDA,AVENIDA GENERAL OSORIO,215,"avenida general osorio 215 centro , SP, Brasil",-46.6404593,-23.5368293
DUNALVA DO AMARAL FARATH ESCOLA MUNICIPAL,São José do Rio Preto,MUNICIPAL,461763,35461763,VILA AZUL,SAO JOSE DO RIO PRETO,15087000,ESTRADA MUNICIPAL,ESTRADA MUNICIPAL JOSE DOMINGUES NETO,SN,"estrada municipal jose domingues neto sn vila azul , SP, Brasil",-49.3658786,-20.904098
DAIZY ROLLEMBERG TREFIGLIO PROFA ESCOLA MUNICIPAL,São José do Rio Preto,MUNICIPAL,104279,35104279,PARQUE DA CIDADANIA,SAO JOSE DO RIO PRETO,15047201,RUA,ARTUR PAGLIUSI NETO,250,"artur pagliusi neto 250 parque da cidadania , SP, Brasil",-49.404834,-20.7560983
CHAFIC BALURA PROF EM,São José do Rio Preto,MUNICIPAL,77434,35077434,PARQUE RESIDENCIAL DOM LAFAIETE LIBANIO,SAO JOSE DO RIO PRETO,15046080,RUA,ANTONIO FRANCISCO COUTINHO,65,"antonio francisco coutinho 65 parque residencial dom lafaiete libanio , SP, Brasil",-49.3888034,-20.7760795
CARLOS ROBERTO SEIXAS DR EM,São José do Rio Preto,MUNICIPAL,461799,35461799,RES PARQUE DAS AMORAS II,ENGENHEIRO SCHMIDT,15062588,ESTR MUN ENG SCHMIDT A S JOSE DO RIO PRETO 1125,AVENDA PROJETADA,1,"avenda projetada 1 res parque das amoras ii , SP, Brasil",-49.317943,-20.852966
PINOCHIO EM,São José do Rio Preto,MUNICIPAL,86629,35086629,CIDADE NOVA,SAO JOSE DO RIO PRETO,15085360,RUA,OTAVIO PINTO CESAR,1500,"otavio pinto cesar 1500 cidade nova , SP, Brasil",-49.3825309,-20.8409733
JOSE MARIA ROLLEMBERG SAMPAIO DR EM,São José do Rio Preto,MUNICIPAL,227377,35227377,VILA SAO JORGE,SAO JOSE DO RIO PRETO,15040170,AVENIDA,RUA HERMOGENES DE FARIA,4157,"rua hermogenes de faria 4157 vila sao jorge , SP, Brasil",-49.4044768,-20.7993227
MARIO ZINNI PROFESSOR EMEB,Leme,MUNICIPAL,278002,35278002,JARDIM ITAMARATY,LEME,13617525,RUA,RUA PEDRO CALIXTO,270,"rua pedro calixto 270 jardim itamaraty , SP, Brasil",-47.369235,-22.189137
ALCIDES KAMMER ANDRADE PROF EMEB,Leme,MUNICIPAL,89102,35089102,VILA SUMARE,LEME,13615110,RUA,RUA LOURENCO LEME,956,"rua lourenco leme 956 vila sumare , SP, Brasil",-47.3800447,-22.1715015
ZILDA NATEL ESCOLA MUNICIPAL,São José do Rio Preto,MUNICIPAL,560200,35560200,PARQUE INDUSTRIAL,SAO JOSE DO RIO PRETO,15030150,RUA,ZULMIRA DA SILVA SALLES PROFESSORA,1187,"zulmira da silva salles professora 1187 parque industrial , SP, Brasil",-49.3954982,-20.8062912
APARECIDA HOMSI DE SALLES CUNHA PROFA EM,São José do Rio Preto,MUNICIPAL,74524,35074524,JARDIM ANTUNES,SAO JOSE DO RIO PRETO,15047360,RUA,RUA JOSE TEBAR,SN,"rua jose tebar sn jardim antunes , SP, Brasil",-49.4042011,-20.7727906
RODRIGUES FERREIRA PROF EM,São José do Rio Preto,MUNICIPAL,461830,35461830,VILA AZUL,SAO JOSE DO RIO PRETO,15087000,ESTRADA MUNICIPAL,ESTR VIC JOSE DOMINGUES NETO,3500,"estr vic jose domingues neto 3500 vila azul , SP, Brasil",-49.3403942,-20.8448318
MICHEL PEDRO SAWAIA PROF EM,São José do Rio Preto,MUNICIPAL,219617,35219617,CONJUNTO HABITACIONAL CRISTO REI,SAO JOSE DO RIO PRETO,15076570,RUA,DARCI FRIEDERICH PACHECO,440,"darci friederich pacheco 440 conjunto habitacional cristo rei , SP, Brasil",-49.350307,-20.83662
GESSIA PEIXE DE MOURA HILDEBRAND PROFA EMEB,Leme,MUNICIPAL,210110,35210110,JARDIM CAPITOLIO,LEME,13610420,AVENIDA,AVENIDA ALBINO ALVES DE CAMARGO,277,"avenida albino alves de camargo 277 jardim capitolio , SP, Brasil",-47.3956117,-22.1947274
JOAO GERALDO IORI PROF EMEF,Tupã,MUNICIPAL,241799,35241799,JARDIM ARITANA,TUPA,17602703,RUA,ANGELO SERVILHA ROMEIRO,150,"angelo servilha romeiro 150 jardim aritana , SP, Brasil",-50.4909734,-21.9316735
ALMERINDA RAMOS DE SOUZA LEAO CRECHE ESCOLA,Tupã,MUNICIPAL,270763,35270763,JARDIM SANTA ADELIA,TUPA,17603770,RUA,YUKIO ANDAKU,155,"yukio andaku 155 jardim santa adelia , SP, Brasil",-50.4944018,-21.9445421
ALTINO MARTINEZ PROF EMEIEF,Tupã,MUNICIPAL,439712,35439712,CENTRO(UNIVERSO),UNIVERSO,17623005,RUA,SEBASTIAO FERREIRA DE DEUS,271,"sebastiao ferreira de deus 271 centro(universo) , SP, Brasil",-50.597447,-21.903197
ODINIR MAGNANI PROFESSOR EMEF,Tupã,MUNICIPAL,70609,35070609,PARQUE UNIVERSITARIO,TUPA,17607389,RUA,JOVINIANA BEZERRA DE CARVALHO,255,"joviniana bezerra de carvalho 255 parque universitario , SP, Brasil",-50.531106,-21.921683
VILA PLANALTO EMEI E CCIM,Penápolis,MUNICIPAL,94687,35094687,VILA PLANALTO,PENAPOLIS,16300000,RUA,RUA DOMINGOS VIEIRA,SN,"rua domingos vieira sn vila planalto , SP, Brasil",-50.062603,-21.415348
SAO FRANCISCO CENTRO DE EDUCACAO INFANTIL MUNICIPAL,Penápolis,MUNICIPAL,456248,35456248,RESIDENCIAL SAO FRANCISCO,PENAPOLIS,16300000,RUA,RUA JOSE CAMPANHA,459,"rua jose campanha 459 residencial sao francisco , SP, Brasil",-45.5130302,-22.429011
CECILIA GAMA RAHAL CENTRO DE EDUCACAO INFANTIL MUNICIPAL,Penápolis,MUNICIPAL,74639,35074639,JARDIM ELDORADO,PENAPOLIS,16300000,RUA,RUA IRMAOS CHRISOSTOMO DE OLIVEIRA,677,"rua irmaos chrisostomo de oliveira 677 jardim eldorado , SP, Brasil",-50.0805506,-21.4118145
JARDIM DEL REY CEIM,Penápolis,MUNICIPAL,94663,35094663,JARDIM DEL REY,PENAPOLIS,16300000,RUA,AVENIDA SOLDADO GUERINO POLONIO,572,"avenida soldado guerino polonio 572 jardim del rey , SP, Brasil",-50.0788056,-21.4395867
HEROS ALCIATI PROF EMEF,Ribeirão Grande,MUNICIPAL,244375,35244375,JARDIM SAO PAULO,RIBEIRAO GRANDE,18315000,RUA,RUA PEDRINA MARIA DO ESPIRITO SANTO,57,"rua pedrina maria do espirito santo 57 jardim sao paulo , SP, Brasil",-46.7678118,-23.6488384
GENTE MIUDA EMEI,Ribeirão Grande,MUNICIPAL,75000,35075000,CENTRO,RIBEIRAO GRANDE,18315000,"",ESTRADA DOS NUNES,SN,"estrada dos nunes sn centro , SP, Brasil",-45.7903426,-23.5443496
LUIZA SOLDERA GOBBO PROFA EM,Taguaí,MUNICIPAL,73337,35073337,VILA CLEMENTINA,TAGUAI,18890000,RUA,RUA DONA BENI,474,"rua dona beni 474 vila clementina , SP, Brasil",-49.4052776,-23.4540711
PEDRO SOLDERA EM,Taguaí,MUNICIPAL,230807,35230807,CENTRO,TAGUAI,18890000,RUA,RUA JOSE GOBBO,530,"rua jose gobbo 530 centro , SP, Brasil",-49.4025519,-23.4543391
EMEI ALOYSIO NUNES FERREIRA FILHO,Sebastianópolis do Sul,MUNICIPAL,72114,35072114,CENTRO,SEBASTIANOPOLIS DO SUL,15180000,RUA,RUA FREDERICO RAIA,406,"rua frederico raia 406 centro , SP, Brasil",-49.922082,-20.6562502
GIOVANNI FERRETI PADRE ESCOLA MUNICIPAL,Taguaí,MUNICIPAL,452051,35452051,JARDIM PRIMAVERA,TAGUAI,18890000,RUA,RUA DAS ACACIAS,110,"rua das acacias 110 jardim primavera , SP, Brasil",-44.961899,-22.559736
CEIM EDUCADORA MARIA DA GRACA GONCALVES SILVA,Penápolis,MUNICIPAL,272401,35272401,JARDIM ELDORADO,PENAPOLIS,16300000,RUA,AVENIDA GETULIO VARGAS,419,"avenida getulio vargas 419 jardim eldorado , SP, Brasil",-47.3053807,-23.1937352
CRECHE MUN VEREADOR LAZARO MENDES DE LIMA,Iracemápolis,MUNICIPAL,577911,35577911,MORRO AZUL,IRACEMAPOLIS,13495000,PRACA,MANOEL FERNANDES,140,"manoel fernandes 140 morro azul , SP, Brasil",-46.6333094,-23.5505199
CRECHE MUNICIPAL PREFEITO LUIZ ALVES DE OLIVEIRA,Iracemápolis,MUNICIPAL,586845,35586845,JARDIM SANTA RITA,IRACEMAPOLIS,13495000,"",LIDIA BORBA,655,"lidia borba 655 jardim santa rita , SP, Brasil",-46.4302949,-23.5279066
JOSIANE SOLDERA LEITE PROFESSORA EM,Taguaí,MUNICIPAL,452075,35452075,CENTRO,TAGUAI,18890000,RUA,RUA JAIR DOMINGUES,300,"rua jair domingues 300 centro , SP, Brasil",-49.4015756,-23.4542984
VITORIO BERGAMO ESCOLA MUNICIPAL,Taguaí,MUNICIPAL,481415,35481415,MENEGHEL,TAGUAI,18890000,RUA,ANTONIO VICENCOTTO,322,"antonio vicencotto 322 meneghel , SP, Brasil",-46.6291845,-23.5431786
ARMELINDO ARTIOLI PROF EMEF,Penápolis,MUNICIPAL,222719,35222719,JARDIM DEL REY,PENAPOLIS,16300000,RUA,RUA SALMA CHEIDA PEREIRA,184,"rua salma cheida pereira 184 jardim del rey , SP, Brasil",-50.0758994,-21.4399874
BENEDICTO FABRICIO PREFEITO CEIM,Iracemápolis,MUNICIPAL,454953,35454953,JARDIM BELA VISTA,IRACEMAPOLIS,13495000,"",OLÍVIA DOMICIANO OLIVEIRA,103,"olívia domiciano oliveira 103 jardim bela vista , SP, Brasil",-47.5195555,-22.592045
HUMBERTO NANNI RINALDI CRECHE MUNICIPAL,Avanhandava,MUNICIPAL,351763,35351763,JARDIM CAMPOS VERDES,AVANHANDAVA,16360000,RUA,RUA DAS CAMELIAS,20,"rua das camelias 20 jardim campos verdes , SP, Brasil",-46.6401663,-23.6042167
BENEDICTO CARLOS FREIRE PROF EM,Iracemápolis,MUNICIPAL,218662,35218662,JARDIM LAZARO HONORIO DE OLIVEIRA,IRACEMAPOLIS,13495000,PRACA,AVENIDA PEDRO MARCOS BERTANHA,525,"avenida pedro marcos bertanha 525 jardim lazaro honorio de oliveira , SP, Brasil",-47.5118691,-22.5930328
ANTONIO CANDIDO DE CAMARGO DR ESCOLA MUNICIPAL,Iracemápolis,MUNICIPAL,218650,35218650,JARDIM IRACEMA,IRACEMAPOLIS,13495000,PRACA,RUA VERGILIO ROSSETTI,51,"rua vergilio rossetti 51 jardim iracema , SP, Brasil",-47.5205067,-22.5877811
EM ARLINDO BERGAMO,Taguaí,MUNICIPAL,249932,35249932,NOVA TAGUAI,TAGUAI,18890000,RUA,RUA JOSE GOBBO,1087,"rua jose gobbo 1087 nova taguai , SP, Brasil",-49.4019838,-23.4543017
SILVIA COVAS CENTRO DE EDUCACAO INFANTIL MUNICIPAL,Penápolis,MUNICIPAL,114595,35114595,RESIDENCIAL SILVIA COVAS,PENAPOLIS,16300000,RUA,RUA DAS BEGONIAS,50,"rua das begonias 50 residencial silvia covas , SP, Brasil",-50.0888262,-21.386384
DENISE ELIZABETH FAULBORN DENARDI PROFA CEIM,Iracemápolis,MUNICIPAL,432337,35432337,JARDIIM ANTONIO J FAGUNDES,IRACEMAPOLIS,13495000,PRACA,RUA ANGELINA CATOIA ALVES,SN,"rua angelina catoia alves sn jardiim antonio j fagundes , SP, Brasil",-47.5082179,-22.5870408
DULCIDIA COSTA RIVABEN PROFA ESCOLA MUNICIPAL,Iracemápolis,MUNICIPAL,246025,35246025,JOAO OMETTO,IRACEMAPOLIS,13495000,PRACA,RUA DOUTOR DIMAS CERA OMETTO,352,"rua doutor dimas cera ometto 352 joao ometto , SP, Brasil",-47.5141675,-22.5835791
OLINTO JUNQUEIRA DE OLIVEIRA EMEF,Jaborandi,MUNICIPAL,276960,35276960,CENTRO,JABORANDI,14775970,"",RUA JUSTINO FAZZUOLI,425,"rua justino fazzuoli 425 centro , SP, Brasil",-48.4109447,-20.686325
ARCANJO GABRIEL EMEF,Jaborandi,MUNICIPAL,298712,35298712,CENTRO,JABORANDI,14775000,RUA,RUA VEREADOR ONOFRE ALVES DA COSTA,1450,"rua vereador onofre alves da costa 1450 centro , SP, Brasil",-46.6291845,-23.5431786
RENY PEREIRA CORDEIRO PROFA EMEF,Marília,MUNICIPAL,222598,35222598,JARDIM ESPLANADA,MARILIA,17521182,RUA,RUA ALEXANDRE CHAIA,865,"rua alexandre chaia 865 jardim esplanada , SP, Brasil",-49.9160989,-22.2387121
MEU ANJO EMEI,Marília,MUNICIPAL,513659,35513659,SAO MIGUEL,MARILIA,17506280,RUA,BARTOLOMEU DE GUSMAO,143,"bartolomeu de gusmao 143 sao miguel , SP, Brasil",-49.9579635,-22.2021832
CECILIA ALVES GUELPA PROFA EMEF,Marília,MUNICIPAL,222604,35222604,NUCLEO HABITACIONAL PRESIDENTE JANIO DA SILVA QUAD,MARILIA,17511731,AVENIDA,JOSE RINO,320,"jose rino 320 nucleo habitacional presidente janio da silva quad , SP, Brasil",-49.95316,-22.1723012
GERALDA CESAR VILARDI PROFA EMEF,Marília,MUNICIPAL,241805,35241805,CONJUNTO HABITACIONAL VILA DOS COMERCIARIOS II,MARILIA,17527622,RUA,AMADOR BUENO,1915,"amador bueno 1915 conjunto habitacional vila dos comerciarios ii , SP, Brasil",-49.976929,-22.215317
EMEI CRECHE PROFESSORA MARINA BETTI CEZAR,Marília,MUNICIPAL,586973,35586973,JARDIM CALIFORNIA,MARILIA,17527390,RUA,ALCIDES CALIMAN,475,"alcides caliman 475 jardim california , SP, Brasil",-49.9759142,-22.2180465
FERNANDO MAURO DR EMEI,Marília,MUNICIPAL,65651,35065651,SENADOR SALGADO FILHO,MARILIA,17502276,"",AIMORES,38,"aimores 38 senador salgado filho , SP, Brasil",-49.9609069,-22.2228459
CIRANDA CIRANDINHA EMEI,Marília,MUNICIPAL,86733,35086733,NUCLEO HABITACIONAL CASTELO BRANCO,MARILIA,17511150,RUA,GALIA,139,"galia 139 nucleo habitacional castelo branco , SP, Brasil",-49.9571782,-22.1892425
SACI PERERE EMEI,Marília,MUNICIPAL,65638,35065638,JARDIM ALVORADA,MARILIA,17513324,"",ROBERTO SIMONSEN,479,"roberto simonsen 479 jardim alvorada , SP, Brasil",-49.937551,-22.203241
MODESTO JOSE MOREIRA EMEF,Bálsamo,MUNICIPAL,233006,35233006,CENTRO,BALSAMO,15140000,RUA,RUA AURORA SOARES GERALDES,419,"rua aurora soares geraldes 419 centro , SP, Brasil",-49.5842644,-20.7334672
