nome_escola_siope,municipio,nome_dependencia_administrativa,codigo_escola,codigo_mec,bairro,distrito,cep,complemento,endereco,numero,end2,lon,lat
LAURINDO BADANAIS ESCOLA MUNICIPAL DE EDUCACAO INFANTIL,Tatuí,MUNICIPAL,460710,35460710,JARDIM SANTA RITA DE CASSIA,TATUI,18274300,RUA,JUVENAL DE MEDEIROS,54,"juvenal de medeiros 54 jardim santa rita de cassia , SP, Brasil",-47.8441868,-23.3819547
JOSE GALVAO SOBRINHO PROFESSOR EMEF,Tatuí,MUNICIPAL,295541,35295541,JARDIM TOKIO,TATUI,18279610,BLOCO I,MARIETA DE ASSUNCAO TELLES DONA,139,"marieta de assuncao telles dona 139 jardim tokio , SP, Brasil",-47.8507898,-23.3340769
JOAO FLORENCIO EM,Tatuí,MUNICIPAL,196447,35196447,CENTRO,TATUI,18270380,PRACA,PAULO SETUBAL,21,"paulo setubal 21 centro , SP, Brasil",-47.0660187,-22.898799
CHIQUINHA RODRIGUES CRECHE MUNICIPAL,Tatuí,MUNICIPAL,211515,35211515,CENTRO,TATUI,18270390,PRACA,PRACA DA BANDEIRA,118,"praca da bandeira 118 centro , SP, Brasil",-46.638028,-23.5475578
CHIQUINHA RODRIGUES CRECHE MUNICIPAL,Tatuí,MUNICIPAL,211515,35211515,CENTRO,TATUI,18270390,PRACA,PRACA DA BANDEIRA,118,"praca da bandeira 118 centro , SP, Brasil",-46.638028,-23.5475578
MARIA DE LOURDES ROSA BUENO PROFA EMEI,Tatuí,MUNICIPAL,273041,35273041,PARQUE SAO RAFAEL,TATUI,18274008,RUA,BENEDITO MENDES DE ALMEIDA DOUTOR,SN,"benedito mendes de almeida doutor sn parque sao rafael , SP, Brasil",-47.8470286,-23.3613597
MARIA ZENEIDE DE ALMEIDA MELLO PROFA CRECHE MUNICIPAL,Tatuí,MUNICIPAL,211540,35211540,JARDIM SANTA RITA DE CASSIA,TATUI,18274210,RUA,RUA ANA FERMANN,290,"rua ana fermann 290 jardim santa rita de cassia , SP, Brasil",-47.85106,-23.3802561
JORGE DA SILVA FIUZA PROF CEPEM,Tatuí,MUNICIPAL,645977,35645977,VILA AMERICANA,TATUI,18272131,RUA,JOAQUIM LOURENCO,SN,"joaquim lourenco sn vila americana , SP, Brasil",-47.7793387,-23.3214532
PEDRA BELA EM,Pedra Bela,MUNICIPAL,278634,35278634,CENTRO,PEDRA BELA,12990000,CENTRO,RUA ANTONIO CENCIANI,SN,"rua antonio cenciani sn centro , SP, Brasil",-46.6374771,-23.5421974
BAIRRO DO CORREGO RASO EM,Pedra Bela,MUNICIPAL,664820,35664820,BAIRRO DO CORREGO RASO,PEDRA BELA,12990000,SITIO,BAIRRO DO CORREGO RASO,SN,"bairro do corrego raso sn bairro do corrego raso , SP, Brasil",-46.6291845,-23.5431786
BAIRRO CAPITAO BRAZ ESCOLA MUNICIPAL,Cajati,MUNICIPAL,215934,35215934,CAPITAO BRAZ,CAJATI,11950000,RUA,AVENIDA VICTOR PEREIRA,SN,"avenida victor pereira sn capitao braz , SP, Brasil",-48.1618737,-24.7103147
RENATA ALVES GUIMARAES RIBEIRO CRECHE MUNICIPAL,Sagres,MUNICIPAL,243188,35243188,CENTRO,SAGRES,17710000,RUA,AVENIDA ARMINDA TRINDADE RIBAS,112,"avenida arminda trindade ribas 112 centro , SP, Brasil",-50.9599211,-21.8861991
CHAGAS PEREIRA EMEF,Aparecida,MUNICIPAL,294366,35294366,CENTRO,APARECIDA,12570000,AVENIDA,PRACA DOUTOR BENEDITO MEIRELLES,111,"praca doutor benedito meirelles 111 centro , SP, Brasil",-45.192435,-22.8169846
OSWALDO MORAES DE CASTRO CRECHE,Aparecida,MUNICIPAL,600581,35600581,SAO SEBASTIAO,APARECIDA,12570000,AVENIDA,RUA MAJOR MANOEL MARTINS DE CASTILHO,307,"rua major manoel martins de castilho 307 sao sebastiao , SP, Brasil",-45.2408123,-22.8538328
VERA LUCIA BOURABEBE CRECHE EMEI,Aparecida,MUNICIPAL,203063,35203063,ITAGUACU,APARECIDA,12570000,AVENIDA,RUA ITACOLOMI,SN,"rua itacolomi sn itaguacu , SP, Brasil",-46.65665,-23.5470995
SILVANIA APARECIDA DE SOUZA BOMBACHI DE PAIVA CRECHE ESCOLA,Aparecida,MUNICIPAL,267867,35267867,JARDIM SAO PAULO,APARECIDA,12570000,AVENIDA,RUA ALFREDO PENIDO,76,"rua alfredo penido 76 jardim sao paulo , SP, Brasil",-45.224596,-22.839359
SOLON PEREIRA PREFEITO EMEF,Aparecida,MUNICIPAL,337997,35337997,SANTA LUZIA,APARECIDA,12570000,AVENIDA,TRAVESSA JOSE AMADOR,88,"travessa jose amador 88 santa luzia , SP, Brasil",-45.2264969,-22.8484071
IRMA LUCIA ESCOLA MUNICIPAL DE EDUCACAO INFANTIL,Paraguaçu Paulista,MUNICIPAL,223335,35223335,JARDIM AMERICA,PARAGUACU PAULISTA,19700000,RUA,RUA ARTHUR EBEL,1715,"rua arthur ebel 1715 jardim america , SP, Brasil",-50.5923001,-22.4167646
MARIA PEREIRA BRISO DONA EMEI,Paraguaçu Paulista,MUNICIPAL,223347,35223347,VILA ATHAYDE,PARAGUACU PAULISTA,19700000,RUA,RUA SANTOS DUMONT,1436,"rua santos dumont 1436 vila athayde , SP, Brasil",-46.6873787,-23.6318426
DOMINGOS PAULINO VIEIRA EMEIF,Paraguaçu Paulista,MUNICIPAL,245215,35245215,ROSETA,CONCEICAO DE MONTE ALEGRE,19700970,"",RUA OSVALDO CRUZ,SN,"rua osvaldo cruz sn roseta , SP, Brasil",-50.879763,-21.7972251
ANISIO NOVAES EMEF,Aparecida,MUNICIPAL,202903,35202903,SANTA TEREZINHA,APARECIDA,12570000,AVENIDA,RUA JOAO APRIGIO COSTA,139,"rua joao aprigio costa 139 santa terezinha , SP, Brasil",-45.2252248,-22.8369576
JOSE GERALDO LEMES VALLADAO PREF EMEIEF,Aparecida,MUNICIPAL,282492,35282492,SAO GERALDO,APARECIDA,12570000,AVENIDA,AVENIDA ITAGUACU,1963,"avenida itaguacu 1963 sao geraldo , SP, Brasil",-48.6141853,-27.5853653
