no_municipio,nome_escola_siope,esc,nome_dependencia_administrativa,nome_escola_secretaria,codigo_escola,codigo_mec,bairro,distrito,cep,complemento,endereco,numero
itapolis,JOSE TOLEDO DE MENDONCA PROFESSOR EMEF,jose toledo de mendonca professor emef,MUNICIPAL,JOSE TOLEDO DE MENDONCA PROFESSOR EMEF,276571,35276571,VILA SANTOS,ITAPOLIS,14900000,RUA,RUA JOAQUIM NABUCO,292
cerquilho,JULIO PRESTES HOLTZ PADRE EMEF,julio prestes holtz padre emef,MUNICIPAL,JULIO PRESTES HOLTZ PADRE EMEF,413902,35413902,NOVA CERQUILHO,CERQUILHO,18520000,RUA,RUA ITALIA,SN
campinas,LEA STRACHMAN DUCHOVNI CEI 07,lea strachman duchovni cei 07,MUNICIPAL,LEA STRACHMAN DUCHOVNI CEI 07,205199,35205199,JARDIM SANTA ROSA,CAMPINAS OESTE,13058711,RUA,MANOEL ISIDORO REIS,774
sao carlos,CARMELITA ROCHA RAMALHO CEMEI,carmelita rocha ramalho cemei,MUNICIPAL,CARMELITA ROCHA RAMALHO CEMEI,71948,35071948,VILA PRADO,BELA VISTA SAO CARLENSE,13574040,AVENIDA,SALLUM,535
itapolis,LOIDE PORTOLANI EMEI,loide portolani emei,MUNICIPAL,LOIDE PORTOLANI EMEI,60884,35060884,JARDIM 2000,ITAPOLIS,14900000,RUA,RUA TOPAZIO,210
campinas,OZIEL ALVES PEREIRA EMEF,oziel alves pereira emef,MUNICIPAL,OZIEL ALVES PEREIRA EMEF,283685,35283685,JARDIM MONTE CRISTO/PARQUE OZIEL,CAMPINAS OESTE,13049066,RUA,FAUZE SELHE,SN
sao carlos,ANTONIO LORDES RONDON CEMEI,antonio lordes rondon cemei,MUNICIPAL,ANTONIO LORDES RONDON CEMEI,91923,35091923,PARQUE RESIDENCIAL MARIA STELLA FAGA,VILA NERY,13568300,RUA,OLAVO ZABOTTO,105
cerquilho,BELIRDE KAIZER PICCIN ESCOLA MUNICIPAL DE INFANTIL INTEGRAL,belirde kaizer piccin escola municipal de infantil integral,MUNICIPAL,BELIRDE KAIZER PICCIN ESCOLA MUNICIPAL DE INFANTIL INTEGRAL,59560,35059560,CECAP,CERQUILHO,18520000,RUA,RUA ALMIRANTE BARROSO,2000
jose bonifacio,ELIANA BERTAZONI DOS REIS PROFESSORA ESCOLA MUNICIPAL,eliana bertazoni dos reis professora escola municipal,MUNICIPAL,ELIANA BERTAZONI DOS REIS PROFESSORA ESCOLA MUNICIPAL,98887,35098887,VILA SANTA MARIA,JOSE BONIFACIO,15200000,AVENIDA,RUA ARMANDO REINO,240
dois corregos,FRANCISCO SIMOES EMEF,francisco simoes emef,MUNICIPAL,FRANCISCO SIMOES EMEF,430584,35430584,CENTRO,DOIS CORREGOS,17300000,RUA,PRACA FRANCISCO SIMOES,39
laranjal paulista,MONICA BENETON DE LARA PROFA EM,monica beneton de lara profa em,MUNICIPAL,MONICA BENETON DE LARA PROFA EM,76594,35076594,JARDIM PALMEIRAS,LARANJAL PAULISTA,18500000,PRACA,RUA ALFREDO GOBBO,211
laranjal paulista,NOSSA SENHORA AUXILIADORA CRECHE MUNICIPAL,nossa senhora auxiliadora creche municipal,MUNICIPAL,NOSSA SENHORA AUXILIADORA CRECHE MUNICIPAL,249580,35249580,JARDIM ELITE,LARANJAL PAULISTA,18500000,PRACA,AVENIDA PREFEITO HERMELINDO PILLON,SN
barra do turvo,EMEB PROFESSORA MARINA DAS DORES DOMINGUES MOURA,emeb professora marina das dores domingues moura,MUNICIPAL,EMEB PROFESSORA MARINA DAS DORES DOMINGUES MOURA,298864,35298864,BAIRRO AGUA QUENTE,BARRA DO TURVO,11955000,AVENIDA,BAIRRO AGUA QUENTE,SN
dois corregos,MARIA HELENA CAPELINI RODRIGUES PROFA CEMEI,maria helena capelini rodrigues profa cemei,MUNICIPAL,MARIA HELENA CAPELINI RODRIGUES PROFA CEMEI,430237,35430237,PARQUE RESIDENCIAL ZANGALETTI II,DOIS CORREGOS,17300000,RUA,RUA CLODOALDO BERNAVA,305
jardinopolis,PINGO DE GENTE EMEI,pingo de gente emei,MUNICIPAL,PINGO DE GENTE EMEI,88882,35088882,ALMERINDO MARIANI - CECAP,JARDINOPOLIS,14680000,RUA,RUA JOAO PRIOLLI,SN
jardinopolis,EDDA SAUD FREGONESI PROFESSORA EMEF,edda saud fregonesi professora emef,MUNICIPAL,EDDA SAUD FREGONESI PROFESSORA EMEF,287064,35287064,CECAP ALMERINDO FRANCISCO MARIANI,JARDINOPOLIS,14680000,RUA,PRACA JOAQUIM DA SILVA SALLES,SN
barra do turvo,EMEI MARIA ALEIXO DE QUEIROZ,emei maria aleixo de queiroz,MUNICIPAL,EMEI MARIA ALEIXO DE QUEIROZ,230844,35230844,CENTRO,BARRA DO TURVO,11955000,AVENIDA,RUA VEREADOR JOAO MARTINS DOS SANTOS,SN
dois corregos,VALDOMIRO CASAGRANDE PROF EMEF,valdomiro casagrande prof emef,MUNICIPAL,VALDOMIRO CASAGRANDE PROF EMEF,430572,35430572,JARDIM ARCO IIRIS,DOIS CORREGOS,17300000,RUA,RUA VASCO DA GAMA,164
jardinopolis,GENY MARTINS COSTACURTA PROFESSORA EMEF,geny martins costacurta professora emef,MUNICIPAL,GENY MARTINS COSTACURTA PROFESSORA EMEF,229155,35229155,COHAB ELZA PRINCIVALLE S REIS,JARDINOPOLIS,14680000,RUA,RUA NICOLAU GIUDICE,333
dois corregos,OSCAR NOVAKOSKI EMEFEI,oscar novakoski emefei,MUNICIPAL,OSCAR NOVAKOSKI EMEFEI,206222,35206222,JARDIM MARINA,DOIS CORREGOS,17300000,RUA,AVENIDA HELCY BUENO FAULIN,504
jardinopolis,NAIDE DE PAULA MACHADO PROFESSORA EMEF,naide de paula machado professora emef,MUNICIPAL,NAIDE DE PAULA MACHADO PROFESSORA EMEF,357169,35357169,VILA PAULISTA,JARDINOPOLIS,14680000,RUA,RUA AMADOR BUENO,451
jardinopolis,MARIA PELEGRINI CRECHE MUNICIPAL,maria pelegrini creche municipal,MUNICIPAL,MARIA PELEGRINI CRECHE MUNICIPAL,230327,35230327,VILA REIS,JARDINOPOLIS,14680000,RUA,RUA MARIO FREGONESI,1160
jardinopolis,NAIR SAUD CONTI PROFESSORA EMEF,nair saud conti professora emef,MUNICIPAL,NAIR SAUD CONTI PROFESSORA EMEF,462073,35462073,JARDIM MORUMBI,JARDINOPOLIS,14680000,RUA,IRMAOS MARTELATO,S/N
taboao da serra,FRANCISCO FERREIRA PAES PROF EMEF,francisco ferreira paes prof emef,MUNICIPAL,FRANCISCO FERREIRA PAES PROF EMEF,241738,35241738,JARDIM MITUZI,TABOAO DA SERRA,6775280,RUA,JOSE PEDRO NOGUEIRA FILHO,210
taboao da serra,JUREMA ESCOLA MUNICIPAL INFANTIL,jurema escola municipal infantil,MUNICIPAL,JUREMA ESCOLA MUNICIPAL INFANTIL,572385,35572385,PARQUE PINHEIROS,TABOAO DA SERRA,6767230,RUA,MARIO LATORRE,248
taboao da serra,THEREZINHA VOLPATO BARO PROFA EMEF,therezinha volpato baro profa emef,MUNICIPAL,THEREZINHA VOLPATO BARO PROFA EMEF,275918,35275918,JARDIM SALETE,TABOAO DA SERRA,6787360,AVENIDA,CID NELSON JORDANO,391
areiopolis,JOSE LOURENCO BLANCO EMEF,jose lourenco blanco emef,MUNICIPAL,JOSE LOURENCO BLANCO EMEF,241453,35241453,COHAB,AREIOPOLIS,18670000,PRACA,RUA PROCOPIO VIEIRA RODRIGUES,351
sao jose dos campos,MARILDA APARECIDA MONTEMOR PROFA EMEI,marilda aparecida montemor profa emei,MUNICIPAL,MARILDA APARECIDA MONTEMOR PROFA EMEI,86009,35086009,JARDIM ORIENTE,SAO JOSE DOS CAMPOS,12236231,PRACA,VICTOR HUGO,SN
sao jose dos campos,LUZIA LEVINA APARECIDA BORGES PROFA EMEF,luzia levina aparecida borges profa emef,MUNICIPAL,LUZIA LEVINA APARECIDA BORGES PROFA EMEF,242007,35242007,JARDIM CRUZEIRO DO SUL,SAO JOSE DOS CAMPOS,12234813,RUA,HONORATO GONCALVES TEIXEIRA,205
sao jose dos campos,AUREA CANTINHO RODRIGUES PROFA EMEF,aurea cantinho rodrigues profa emef,MUNICIPAL,AUREA CANTINHO RODRIGUES PROFA EMEF,56820,35056820,JARDIM OSWALDO CRUZ,SAO JOSE DOS CAMPOS,12216600,RUA,IRAN,135
sao jose dos campos,TORATARO TAKITANI EMEI,torataro takitani emei,MUNICIPAL,TORATARO TAKITANI EMEI,86010,35086010,JARDIM VALE DO SOL,SAO JOSE DOS CAMPOS,12238090,PRACA,BAHIA DE SAO SALVADOR,142
sao jose dos campos,MARIA JOSE GUIDO BROGLIATO FREIRE PROFA EMEI,maria jose guido brogliato freire profa emei,MUNICIPAL,MARIA JOSE GUIDO BROGLIATO FREIRE PROFA EMEI,78037,35078037,JARDIM COLONIAL,SAO JOSE DOS CAMPOS,12234440,PRACA,BERTOLINO CLAUDIO,56
sao jose dos campos,ANA BERLING MACEDO PROFA EMEF,ana berling macedo profa emef,MUNICIPAL,ANA BERLING MACEDO PROFA EMEF,56790,35056790,ALTO DA PONTE,SAO JOSE DOS CAMPOS,12212500,RUA,RUA ALZIRO LEBRAO,318
sao jose dos campos,LUIZ LEITE PROF EMEF,luiz leite prof emef,MUNICIPAL,LUIZ LEITE PROF EMEF,271287,35271287,CONJUNTO RESIDENCIAL GALO BRANCO,SAO JOSE DOS CAMPOS,12247540,RUA,BENEDITO ANDRADE,5
sao jose dos campos,FERNANDO TAO DE AZEVEDO INSTITUTO MATERNO INFANTIL,fernando tao de azevedo instituto materno infantil,MUNICIPAL,FERNANDO TAO DE AZEVEDO INSTITUTO MATERNO INFANTIL,497435,35497435,JARDIM SATELITE,SAO JOSE DOS CAMPOS,12230130,RUA,BAMBUI,25
sao jose dos campos,NEI PROFESSORA MARIA APARECIDA SAVASTANO SANCHEZ,nei professora maria aparecida savastano sanchez,MUNICIPAL,NEI PROFESSORA MARIA APARECIDA SAVASTANO SANCHEZ,78049,35078049,CENTRO,SAO JOSE DOS CAMPOS,12249000,PRACA,RUA TREZE DE MAIO,SN
sao jose dos campos,ZILDA COSTA DE OLIVEIRA PROFA EMEI,zilda costa de oliveira profa emei,MUNICIPAL,ZILDA COSTA DE OLIVEIRA PROFA EMEI,91510,35091510,JARDIM DA GRANJA,SAO JOSE DOS CAMPOS,12227230,PRACA,HELIO DIAS,137
sao jose dos campos,LUCIA MARIA DO AMARAL PROFESSORA EMEI,lucia maria do amaral professora emei,MUNICIPAL,LUCIA MARIA DO AMARAL PROFESSORA EMEI,497071,35497071,JARDIM SANTA LUZIA,SAO JOSE DOS CAMPOS,12228858,RUA,JOSE BENEDITO DE ALMEIDA PENA,140
sao jose dos campos,JOSE PURCINI EMEI,jose purcini emei,MUNICIPAL,JOSE PURCINI EMEI,94596,35094596,JARDIM SANTA INES II,SAO JOSE DOS CAMPOS,12248515,RUA,CIRURGIOES DENTISTAS,480
areiopolis,MARIO DE BARROS ARANHA PROF EMEF,mario de barros aranha prof emef,MUNICIPAL,MARIO DE BARROS ARANHA PROF EMEF,241436,35241436,CENTRO,AREIOPOLIS,18670000,PRACA,RUA ANTONIO GONCALVES SILVA,522
sao jose dos campos,VERA LUCIA CARNEVALLI BARRETO PROFA EMEF,vera lucia carnevalli barreto profa emef,MUNICIPAL,VERA LUCIA CARNEVALLI BARRETO PROFA EMEF,86022,35086022,SANTANA,SAO JOSE DOS CAMPOS,12211115,AVENIDA,OLIVO GOMES,520
sao jose dos campos,JACYRA VIEIRA BARACHO PROFA EMEF,jacyra vieira baracho profa emef,MUNICIPAL,JACYRA VIEIRA BARACHO PROFA EMEF,90136,35090136,JARDIM VENEZA,SAO JOSE DOS CAMPOS,12237060,RUA,FLORENCA,100
pederneiras,CHRISTINA CECILIA LUPORINI DE FREITAS PEREIRA PROFA EMEIF,christina cecilia luporini de freitas pereira profa emeif,MUNICIPAL,CHRISTINA CECILIA LUPORINI DE FREITAS PEREIRA PROFA EMEIF,436951,35436951,NUCLEO HABITACIONAL MICHEL NEME,PEDERNEIRAS,17280000,RUA,MARCELO CANELADA AVILA,O 1160
pederneiras,ZILDA MASCARO PROFA EMEF,zilda mascaro profa emef,MUNICIPAL,ZILDA MASCARO PROFA EMEF,436963,35436963,ANTONIO DE CONTI,PEDERNEIRAS,17280000,RUA,RUA COMENDADOR JOAO CHAMAS,S 652
sao jose dos campos,MERCEDES CARNEVALLI KLEIN PROFA EMEF,mercedes carnevalli klein profa emef,MUNICIPAL,MERCEDES CARNEVALLI KLEIN PROFA EMEF,56832,35056832,JARDIM SATELITE,SAO JOSE DOS CAMPOS,12230810,RUA,ITAPOA,350
sao jose dos campos,RIO COMPRIDO NEI,rio comprido nei,MUNICIPAL,RIO COMPRIDO NEI,78013,35078013,RIO COMPRIDO,SAO JOSE DOS CAMPOS,12224730,RUA,RUA SAO FRANCISCO,181
sao jose dos campos,ARTUR APARECIDO DA ROSA EMEI,artur aparecido da rosa emei,MUNICIPAL,ARTUR APARECIDO DA ROSA EMEI,233304,35233304,JARDIM SAO JUDAS TADEU,SAO JOSE DOS CAMPOS,12228370,AVENIDA,VICENTE DE PAULO SAO,SN
pederneiras,CMEI PROFESSORA MARIA ANTONIA PEREIRA TINCANI,cmei professora maria antonia pereira tincani,MUNICIPAL,CMEI PROFESSORA MARIA ANTONIA PEREIRA TINCANI,569793,35569793,JARDIM PACAEMBU,PEDERNEIRAS,17280000,"",PROLONGAMENTO DA RUA MARIO SCHIAVON,O1550
sao jose dos campos,VALERIA APARECIDA DE ALMEIDA VASCONCELOS PROFA EMEI,valeria aparecida de almeida vasconcelos profa emei,MUNICIPAL,VALERIA APARECIDA DE ALMEIDA VASCONCELOS PROFA EMEI,478350,35478350,RESIDENCIAL GAZZO,SAO JOSE DOS CAMPOS,12236852,ESTRADA,ARCILIO MOREIRA DA SILVA,191
sao jose dos campos,MARIA APARECIDA SANTOS RONCONI PROFA EMEF,maria aparecida santos ronconi profa emef,MUNICIPAL,MARIA APARECIDA SANTOS RONCONI PROFA EMEF,436987,35436987,MONTE CASTELO,SAO JOSE DOS CAMPOS,12215390,RUA,ANA GONCALVES DA CUNHA,400
sao jose dos campos,SILVANA MARIA RIBEIRO DE ALMEIDA PROFA EMEF,silvana maria ribeiro de almeida profa emef,MUNICIPAL,SILVANA MARIA RIBEIRO DE ALMEIDA PROFA EMEF,281682,35281682,JARDIM DAS CEREJEIRAS,SAO JOSE DOS CAMPOS,12225570,RUA,QUATRO DE MARCO,10
sao jose dos campos,JOSE SODERO BITENCOURT PROF EMEI,jose sodero bitencourt prof emei,MUNICIPAL,JOSE SODERO BITENCOURT PROF EMEI,347620,35347620,RESIDENCIAL BOSQUE DOS IPES,SAO JOSE DOS CAMPOS,12236874,RUA,JOSE ANTONIO MONTEIRO SANTOS,15
sao jose dos campos,ALVARO GONCALVES PROF EMEF,alvaro goncalves prof emef,MUNICIPAL,ALVARO GONCALVES PROF EMEF,241982,35241982,CAMPO DOS ALEMAES,SAO JOSE DOS CAMPOS,12239740,RUA,RUA ALBERTINA PEREIRA LIMA,151
sao jose dos campos,WALDEMAR RAMOS PROF EMEF,waldemar ramos prof emef,MUNICIPAL,WALDEMAR RAMOS PROF EMEF,56765,35056765,CIDADE VISTA VERDE,SAO JOSE DOS CAMPOS,12223410,RUA,MEXICO,84
sao jose dos campos,ZELI DE TOLEDO DIAS PROFA EMEI,zeli de toledo dias profa emei,MUNICIPAL,ZELI DE TOLEDO DIAS PROFA EMEI,91546,35091546,JARDIM UIRA,SAO JOSE DOS CAMPOS,12227620,AVENIDA,CURRUIRAS,160
guaruja,ANTONIETA DO ESPIRITO SANTO SILVA NUCLEO DE EDUC INFANTIL,antonieta do espirito santo silva nucleo de educ infantil,MUNICIPAL,ANTONIETA DO ESPIRITO SANTO SILVA NUCLEO DE EDUC INFANTIL,235106,35235106,VILA LIGYA,GUARUJA,11430200,RUA,RUA AGNELO XAVIER,SN
guaruja,CELSO RAIMUNDO JERONIMO NEIM,celso raimundo jeronimo neim,MUNICIPAL,CELSO RAIMUNDO JERONIMO NEIM,376723,35376723,JARDIM PRIMAVERA,GUARUJA,11432270,ALAMEDA,VIOLETAS,276
guaruja,MYRIAN TEREZINHA WICHROSKI MILLBOURN ESCOLA MUNICIPAL,myrian terezinha wichroski millbourn escola municipal,MUNICIPAL,MYRIAN TEREZINHA WICHROSKI MILLBOURN ESCOLA MUNICIPAL,84463,35084463,JARDIM BOA ESPERANCA (VICENTE DE CARVALHO),VICENTE DE CARVALHO,11470220,AVENIDA,AVENIDA ADRIANO DIAS DOS SANTOS,611
guaruja,ALBERT SABIN NUCLEO DE EDUCACAO INFANTIL,albert sabin nucleo de educacao infantil,MUNICIPAL,ALBERT SABIN NUCLEO DE EDUCACAO INFANTIL,235167,35235167,SITIO CONCEICAOZINHA (VICENTE DE CARVALHO),VICENTE DE CARVALHO,11470062,AVENIDA,AVENIDA MARIO DAIGE,1155
guaruja,MARIO CERQUEIRA LEITE ESCOLA MUNICIPAL,mario cerqueira leite escola municipal,MUNICIPAL,MARIO CERQUEIRA LEITE ESCOLA MUNICIPAL,246268,35246268,BALNEARIO PRAIA DO PEREQUE,GUARUJA,11446120,RUA,RUA JAVARI,SN
guaruja,VALERIA CRISTINA VIEIRA DA CRUZ SILVA ESCOLA MUNICIPAL,valeria cristina vieira da cruz silva escola municipal,MUNICIPAL,VALERIA CRISTINA VIEIRA DA CRUZ SILVA ESCOLA MUNICIPAL,442987,35442987,MORRINHOS,VICENTE DE CARVALHO,11497000,LOTEAMENTO JARDIM BRASIL,RUA POETA GREGORIO DE MATOS,25
guaruja,GROUSSIER MAGRI NUCLEO DE EDUCACAO INFANTIL,groussier magri nucleo de educacao infantil,MUNICIPAL,GROUSSIER MAGRI NUCLEO DE EDUCACAO INFANTIL,235118,35235118,MORRINHOS I,VICENTE DE CARVALHO,11495040,RUA,RUA DANIEL MATOS DA SILVA,135
guaruja,BENEDICTA BLAC GONZALEZ ESCOLA MUNICIPAL,benedicta blac gonzalez escola municipal,MUNICIPAL,BENEDICTA BLAC GONZALEZ ESCOLA MUNICIPAL,307075,35307075,BALNEARIO PRAIA DO PEREQUE,GUARUJA,11446090,AVENIDA,RIO SOLIMOES,SN
guaruja,OSWALDO CRUZ DOUTOR ESCOLA MUNICIPAL UNIDADE II,oswaldo cruz doutor escola municipal unidade ii,MUNICIPAL,OSWALDO CRUZ DOUTOR ESCOLA MUNICIPAL UNIDADE II,85844,35085844,PARQUE ESTUARIO (VICENTE DE CARVALHO),VICENTE DE CARVALHO,11451000,AVENIDA,AVENIDA PRESIDENTE VARGAS,485
guaruja,VICENTINA LAMAS DO VALLE ESCOLA MUNICIPAL,vicentina lamas do valle escola municipal,MUNICIPAL,VICENTINA LAMAS DO VALLE ESCOLA MUNICIPAL,92174,35092174,SITIO PAECARA (VICENTE DE CARVALHO),VICENTE DE CARVALHO,11451180,RUA,RUA SAO SEBASTIAO,125
guaruja,FRANKLIN DELANO ROOSEVELT PRESIDENTE EMEF,franklin delano roosevelt presidente emef,MUNICIPAL,FRANKLIN DELANO ROOSEVELT PRESIDENTE EMEF,79170,35079170,JARDIM BOA ESPERANCA (VICENTE DE CARVALHO),VICENTE DE CARVALHO,11470220,AVENIDA,AVENIDA ADRIANO DIAS DOS SANTOS,500
guaruja,MARIA EUNICE DA CRUZ ESCOLA MUNICIPAL,maria eunice da cruz escola municipal,MUNICIPAL,MARIA EUNICE DA CRUZ ESCOLA MUNICIPAL,117316,35117316,BALNEARIO PRAIA DO PEREQUE,GUARUJA,11446120,RUA,JAVARI,SN
guaruja,GLADSTON JAFET DOUTOR EMPGES,gladston jafet doutor empges,MUNICIPAL,GLADSTON JAFET DOUTOR EMPGES,55906,35055906,LIVA LIGYA,GUARUJA,11431210,AVENIDA,RUA JOAO LUIS DA SILVA,3
guaruja,LUCIMARA DE JESUS VICENTE ESCOLA MUNICIPAL,lucimara de jesus vicente escola municipal,MUNICIPAL,LUCIMARA DE JESUS VICENTE ESCOLA MUNICIPAL,98024,35098024,JARDIM SANTA ROSA,GUARUJA,11430090,AVENIDA,AVENIDA MANOEL DA CRUZ MICHAEL,343
guaruja,PAULO FREIRE ESCOLA MUNICIPAL,paulo freire escola municipal,MUNICIPAL,PAULO FREIRE ESCOLA MUNICIPAL,82399,35082399,SANTA CLARA,GUARUJA,11435000,AVENIDA,AVENIDA PRESIDENTE TANCREDO NEVES,SN
guaruja,HEBERT HENRY DOW DOUTOR ESCOLA MUNICIPAL,hebert henry dow doutor escola municipal,MUNICIPAL,HEBERT HENRY DOW DOUTOR ESCOLA MUNICIPAL,230959,35230959,BALNEARIO GUARUJA,GUARUJA,11442020,RUA,RUA URUGUAI,950
guaruja,ARY DA SILVA SOUZA VEREADOR ESCOLA MUNICIPAL,ary da silva souza vereador escola municipal,MUNICIPAL,ARY DA SILVA SOUZA VEREADOR ESCOLA MUNICIPAL,307051,35307051,JARDIM MAR E CEU,GUARUJA,11444530,RUA,RUA JOSE TERTO DO SANTOS FILHO,136
guaruja,JOSE DE SOUZA ESCOLA MUNICIPAL,jose de souza escola municipal,MUNICIPAL,JOSE DE SOUZA ESCOLA MUNICIPAL,306915,35306915,BALNEARIO GUARUJA,GUARUJA,11442070,AVENIDA,ATLANTICA,1518
guaruja,FRANCISCO FIGUEIREDO VEREADOR ESCOLA MUNICIPAL,francisco figueiredo vereador escola municipal,MUNICIPAL,FRANCISCO FIGUEIREDO VEREADOR ESCOLA MUNICIPAL,376802,35376802,CACHOEIRA,GUARUJA,11435000,AVENIDA,TANCREDO NEVES,SN
guaruja,CATARINA DE OLIVEIRA SALGADO ESCOLA MUNICIPAL,catarina de oliveira salgado escola municipal,MUNICIPAL,CATARINA DE OLIVEIRA SALGADO ESCOLA MUNICIPAL,117336,35117336,BALNEARIO GUARUJA,GUARUJA,11442060,AVENIDA,VERANEIO,SN
mogi das cruzes,GUIOMAR PINHEIRO FRANCO PROFA EM,guiomar pinheiro franco profa em,MUNICIPAL,GUIOMAR PINHEIRO FRANCO PROFA EM,270593,35270593,LOTEAMENTO RIO ACIMA,CEZAR DE SOUZA,8830740,RUA,MARIA GIACCO RAMOS,199
mogi das cruzes,OSWALDO REGINO ORNELLAS CENTRO MUN DE PROGRAMAS EDUC,oswaldo regino ornellas centro mun de programas educ,MUNICIPAL,OSWALDO REGINO ORNELLAS CENTRO MUN DE PROGRAMAS EDUC,499961,35499961,JUNDIAPEBA,JUNDIAPEBA,8752010,RUA,BENEDITA PEREIRA FRANCO,2801
mogi das cruzes,RUTH CARDOSO DRA CENTRO MUNICIPAL DE PROGRAMAS EDUCACIONAIS,ruth cardoso dra centro municipal de programas educacionais,MUNICIPAL,RUTH CARDOSO DRA CENTRO MUNICIPAL DE PROGRAMAS EDUCACIONAIS,429752,35429752,JARDIM LAYR,BRAS CUBAS,8760510,RUA,JOSE CAPORALI,28
mogi das cruzes,JACKS GRINBERG PROF EM,jacks grinberg prof em,MUNICIPAL,JACKS GRINBERG PROF EM,133536,35133536,VILA PAULISTA,MOGI DAS CRUZES,8744340,AVENIDA,RUA AMAZONAS,499
mogi das cruzes,CLEONICE FELICIANO PROFA EM,cleonice feliciano profa em,MUNICIPAL,CLEONICE FELICIANO PROFA EM,216987,35216987,JARDIM PIATA A,MOGI DAS CRUZES,8774220,RUA,RUA GUARATINGA,400
mogi das cruzes,BENEDITO FERREIRA LOPES ESCOLA MUNICIPAL,benedito ferreira lopes escola municipal,MUNICIPAL,BENEDITO FERREIRA LOPES ESCOLA MUNICIPAL,575768,35575768,VILA LAVINIA,BRAS CUBAS,8737105,RUA,ALICE THEREZA COTRIN GUERREIRO DA SILVA PROFESSORA,22
santana de parnaiba,TANCREDO DE ALMEIDA NEVES PRESIDENTE COLEGIO MUNICIPAL,tancredo de almeida neves presidente colegio municipal,MUNICIPAL,TANCREDO DE ALMEIDA NEVES PRESIDENTE COLEGIO MUNICIPAL,132073,35132073,JARDIM ISAURA,SANTANA DE PARNAIBA,6516050,AVENIDA,MOACIR DA SILVEIRA,898
santana de parnaiba,JUSCELINO KUBITSCHEK DE OLIVEIRA PRES COLEGIO MUNICIPAL,juscelino kubitschek de oliveira pres colegio municipal,MUNICIPAL,JUSCELINO KUBITSCHEK DE OLIVEIRA PRES COLEGIO MUNICIPAL,396000,35396000,CIDADE SAO PEDRO - GLEBA C,SANTANA DE PARNAIBA,6535400,RUA,CURITIBA,179
mogi das cruzes,MARIO PORTES PROF EM,mario portes prof em,MUNICIPAL,MARIO PORTES PROF EM,203579,35203579,JUNDIAPEBA,JUNDIAPEBA,8750710,RUA,PEDRO PAULO DOS SANTOS,2251
mogi das cruzes,MARIA JOSE TENORIO AQUINO SILVA PROFA EM,maria jose tenorio aquino silva profa em,MUNICIPAL,MARIA JOSE TENORIO AQUINO SILVA PROFA EM,61797,35061797,JARDIM CAMILA,MOGI DAS CRUZES,8720060,AVENIDA,JOSE GLICERIO DE MELLO,1462
mogi das cruzes,ETELVINA CAFARO SALUSTIANO PROF EM,etelvina cafaro salustiano prof em,MUNICIPAL,ETELVINA CAFARO SALUSTIANO PROF EM,230121,35230121,CEZAR DE SOUZA,MOGI DAS CRUZES,8832030,RUA,QUATRO,71
mogi das cruzes,LOURDES GUERRA DE CAMPOS PROFA CEIM,lourdes guerra de campos profa ceim,MUNICIPAL,LOURDES GUERRA DE CAMPOS PROFA CEIM,454989,35454989,VILA OLIVEIRA,MOGI DAS CRUZES,8795020,RUA,CARDOSO DE SIQUEIRA CORONEL,1070
mogi das cruzes,LOURDES MARIA PRADO AGUIAR PROFA EM,lourdes maria prado aguiar profa em,MUNICIPAL,LOURDES MARIA PRADO AGUIAR PROFA EM,243383,35243383,JARDIM ESPERANCA,MOGI DAS CRUZES,8743480,RUA,RUA MATATHIAS NOGUEIRA NOVAES,10
